id,name,category,description,primary_color,accent_color,background_color,heading_font,body_font,renders,plans,sections,diagrams,orientation,page_count,style_notes
tpl_014,Bold Geometric,Bold Modern,Bright geometric shapes with vibrant colors,#1A1A1A,#FF4500,#FFFFFF,Space Grotesk,Inter,4,2,1,2,portrait_A4,24-32,Young firms branding-forward emerging architects
tpl_015,Academic Research,Academic,Research-driven with diagrams and process documentation,#1B1B1B,#A52A2A,#FAFAFA,Crimson Pro,Crimson Pro,3,2,2,8,portrait_A4,40-60,Academic research-heavy ideal for thesis projects
tpl_016,Modernist Bauhaus,Modern,Bauhaus-inspired with primary colors and geometric forms,#000000,#E63946,#FFFFFF,Futura,Futura,4,2,2,3,portrait_A4,24-32,Modernist purists and formalist practices
tpl_017,Photo Journal,Photographic,Photography-first with every page a high-impact image,#1A1A1A,#FFFFFF,#FFFFFF,Helvetica Neue,Helvetica Neue,8,0,0,0,landscape_A4,30-50,Photogenic projects and photography-led firms
tpl_018,Diagram Architect,Diagrammatic,Diagram-heavy celebrating concept and process drawings,#000000,#FF6B35,#FFFFFF,Inter,Inter,2,2,2,10,landscape_A4,32-48,Conceptual practices BIG-style and MVRDV-inspired
tpl_019,Coastal Breeze,Residential,Light coastal-inspired with airy residential and hospitality layouts,#1F3A5F,#87CEEB,#F8FAFB,Cormorant Garamond,Lato,4,2,1,1,portrait_A4,20-28,Coastal residential hospitality resort architects
tpl_020,Terracotta Earth,Residential,Warm terracotta for Mediterranean adobe and warm-climate architecture,#3D2817,#C5704D,#F4EDE4,Playfair Display,Source Serif Pro,4,2,2,1,portrait_A4,24-32,Mediterranean adobe Southwest regional architects
tpl_021,Mono Sans,Minimalist,Pure monochrome minimal with sans-serif typography,#000000,#000000,#FFFFFF,Neue Haas Grotesk,Neue Haas Grotesk,3,1,1,1,portrait_A4,16-24,Swiss school formalist restrained masters
tpl_022,Sketchbook Process,Conceptual,Sketchbook-feel with hand-drawn elements and process sketches,#2C2416,#9B7E46,#F5F0E1,Caveat,Lora,2,2,2,4,landscape_A4,32-48,Hand-drawing focused process-oriented artistic architects
tpl_023,Futurist Tech,Futuristic,High-tech futuristic with neon accents and computational visualization,#0F0F1E,#00FFC8,#0F0F1E,Space Grotesk,Inter,5,1,1,4,landscape_A4,24-36,Computational VR/AR smart-city designers metaverse
tpl_024,Plan Library,Technical,Technical drawing-focused celebrating plans sections elevations,#1A1A1A,#1A1A1A,#FFFFFF,Inter,Inter,2,6,4,4,landscape_A3,32-48,Technical architects drawing-focused construction docs
tpl_025,Storyteller Narrative,Narrative,Story-driven with each project as a narrative format,#2A2A2A,#B8956A,#FAF7F2,Lora,Lora,4,1,1,2,portrait_A4,32-48,Story-driven residential client-focused practices
tpl_026,Tropical Modern,Residential,Lush tropical-inspired with biophilic design celebration,#1B3D2F,#D4A574,#F4EFE3,Cormorant Garamond,Karla,5,2,2,2,portrait_A4,24-32,Tropical biophilic resort and villa specialists
tpl_027,Manifesto Mono,Conceptual,Manifesto-driven leading with theory before built work,#0F0F0F,#E50914,#FFFFFF,Inter,Inter,3,1,1,3,portrait_A4,20-32,Theoretical practices polemic architects school directors
tpl_028,Asymmetric Modern,Modern,Asymmetric layouts breaking the grid intentionally,#1F1F1F,#FF9F1C,#F4F4F2,Helvetica Now,Helvetica Now,5,2,1,2,landscape_A4,24-36,Avant-garde art-book contemporary studios
tpl_029,Vintage Print,Vintage,Vintage print-press feel with letterpress textures,#3D2C1E,#8B0000,#F0E6D2,IM Fell English,EB Garamond,3,2,2,2,portrait_A4,24-32,Historic restoration traditional craftsmen period architects
tpl_030,Color Block Pop,Bold Modern,Bold color blocking with bright contemporary palette,#1A1A1A,#FF006E,#FFFFFF,Clash Display,Inter,4,2,1,2,portrait_A4,24-32,Young firms design-forward color-confident practices
tpl_031,Section Cut Master,Technical,Section-drawing focused with axonometric and constructional details,#000000,#0066CC,#FFFFFF,Inter,Inter,2,2,6,5,landscape_A3,32-48,Detail-oriented technical specialists construction docs
tpl_032,Render Showcase,Visualization,Render-focused for visualization specialists photo-realistic CGI,#1A1A1A,#FFFFFF,#1A1A1A,Inter,Inter,10,0,0,1,landscape_A4,24-36,Visualization specialists render firms CGI artists
tpl_033,Interior Stylist,Interior,Interior design focused with material palettes and styled vignettes,#2C2A2A,#C9A878,#FAF6F0,Cormorant Garamond,Inter,6,1,1,1,portrait_A4,28-40,Interior designers hospitality residential interiors
tpl_034,Civic Public,Civic,Civic public architecture portfolio celebrating community engagement,#0F2942,#C0392B,#F5F5F0,Source Serif Pro,Source Sans Pro,4,3,2,4,landscape_A4,32-48,Civic public government large-scale public realm
tpl_035,Adaptive Reuse,Adaptive Reuse,Before/after focused celebrating adaptive reuse and material storytelling,#2B2B2B,#A0522D,#F2EFE9,Cormorant Garamond,Source Serif Pro,4,3,2,3,landscape_A4,32-44,Heritage conservation adaptive reuse specialists
tpl_036,Material Library,Materials,Materials-driven with rich palettes and tactile photography,#2A2A2A,#8B7355,#F4F0EB,Lora,Inter,3,1,2,2,portrait_A4,28-40,Material-led architects craft-focused practices fabricators
tpl_037,Competition Board,Academic,Competition-board style with information-dense layouts,#1A1A1A,#FFD700,#FFFFFF,Inter,Inter,3,2,2,6,landscape_A3,20-32,Students competition entries academic showcases
tpl_038,Boutique Studio,Boutique,Personal boutique studio with handcrafted feel and intimate scale,#3D3D3D,#C5A572,#FAF5EE,Lora,Inter,4,2,1,1,portrait_A4,20-28,Boutique studios small practices residential specialists
tpl_039,Mid-Century Mod,Mid-Century,Mid-century modern with warm wood tones and geometric patterns,#2A1B0F,#E07A3F,#F2E7D5,Quattrocento,Quattrocento Sans,5,2,1,1,landscape_A4,24-32,Mid-century restorations Eichler-style Palm Springs aesthetic
tpl_040,Skyline Tower,Commercial,Tower and high-rise focused with vertical compositions,#0F1B2D,#A8DADC,#FFFFFF,Montserrat,Open Sans,5,4,2,3,portrait_A4,32-48,Commercial architects high-rise specialists large firms
tpl_041,Sketches and Concepts,Conceptual,Concept-led with bold sketches and ideation drawings,#1A1A1A,#F4A460,#FFFFFF,Inter,Inter,3,2,1,5,landscape_A4,32-44,Conceptual design-thinking ideation-led firms
tpl_042,Photoreal Studio,Visualization,Photorealistic visualization with cinema-quality renders,#0A0A0A,#FFCC00,#0A0A0A,Bebas Neue,Inter,12,0,0,1,landscape_A3,24-36,Visualization studios archviz firms CGI specialists
tpl_043,Cultural Heritage,Heritage,Cultural and heritage with deep storytelling about place and history,#3D2817,#A0522D,#F4ECDC,Cormorant,EB Garamond,3,2,2,2,portrait_A4,32-44,Heritage architects conservation specialists cultural buildings
tpl_044,Urban Diagram,Urban,Urban planning with city-scale diagrams and mapping,#2C3E50,#E67E22,#FFFFFF,Inter,Inter,3,4,1,8,landscape_A3,36-52,Urban designers planners master plan specialists
tpl_045,Pavilion Concept,Conceptual,Pavilion and small-scale conceptual with experimental forms,#1A1A1A,#00A86B,#FAFAFA,Space Grotesk,Inter,4,2,2,4,landscape_A4,24-36,Pavilion specialists experimental practices fabrication-focused
tpl_046,Workspace Office,Commercial,Office and workspace with human-centered focus and brand integration,#1F1F1F,#FF6B6B,#FFFFFF,Inter,Inter,5,2,1,2,landscape_A4,24-36,Workplace specialists office designers corporate interiors
tpl_047,Hospitality Lux,Hospitality,Luxury hospitality for hotels and high-end experience design,#1F2937,#D4AF37,#F9F7F2,Cormorant Garamond,Cormorant Garamond,6,2,1,1,landscape_A4,32-44,Hospitality specialists hotel architects restaurant designers
tpl_048,Healthcare Design,Healthcare,Healthcare wellness with evidence-based and patient-centered design,#2E5266,#6E8898,#F4F8FA,Source Serif Pro,Source Sans Pro,4,3,2,4,portrait_A4,32-44,Healthcare specialists hospital architects wellness designers
tpl_049,Modular Prefab,Modular,Modular and prefab with systems thinking and assembly diagrams,#1A1A1A,#FF6F61,#FFFFFF,Space Grotesk,Inter,4,3,2,6,landscape_A4,28-40,Prefab specialists modular housing ADU designers
tpl_050,Desert Adobe,Residential,Desert and adobe with warm earth tones and regional vernacular,#5C3A21,#D2691E,#F4E4CC,Lora,Lora,4,2,2,3,portrait_A4,24-32,Desert architects Southwest vernacular specialists
tpl_051,Glass and Steel,Commercial,Glass and steel modern with sleek corporate aesthetic,#1F1F1F,#4A90E2,#F0F2F5,Montserrat,Open Sans,5,3,2,2,portrait_A4,32-44,Corporate commercial large-firm aesthetic
tpl_052,Tiny House Cabin,Residential,Small-scale residential for tiny houses cabins and ADUs,#3D3A2F,#7A8C5C,#F4F1E4,Lora,Inter,4,2,2,2,portrait_A4,20-28,Tiny house designers cabin architects ADU specialists
tpl_053,School Education,Educational,Educational architecture for schools and learning environments,#1F4E5F,#F4A261,#FFFFFF,Source Serif Pro,Source Sans Pro,5,3,2,3,landscape_A4,28-40,Educational architects schools universities learning environments
tpl_054,Religious Sacred,Religious,Religious and sacred architecture with reverent design and light study,#3D3D3D,#C5A572,#F8F4ED,Cormorant,EB Garamond,4,3,3,2,portrait_A4,28-40,Religious specialists sacred space designers all faith traditions
tpl_055,Cultural Museum,Cultural,Museum and cultural building with curatorial narrative,#1A1A1A,#B22234,#FAFAFA,Playfair Display,Source Sans Pro,5,3,2,3,landscape_A4,32-44,Museum architects cultural buildings exhibition designers
tpl_056,Retail Concept,Retail,Retail and commercial interior with brand integration,#1A1A1A,#FFD700,#FFFFFF,Inter,Inter,5,2,1,2,landscape_A4,24-36,Retail specialists brand experience flagship stores
tpl_057,Sports Stadium,Sports,Sports and stadium with crowd-scale photography and event focus,#0F0F0F,#FF6B00,#1A1A1A,Oswald,Roboto,5,3,2,3,landscape_A3,32-44,Sports specialists stadium architects venue designers
tpl_058,Industrial Factory,Industrial,Industrial and manufacturing with operational diagrams and process flow,#2A2A2A,#F4A300,#F0F0F0,Oswald,Roboto,4,3,3,4,landscape_A3,28-40,Industrial architects factory specialists logistics buildings
tpl_059,Lab Research,Research,Research and laboratory with technical systems and scientific aesthetics,#1F2937,#10B981,#FFFFFF,Inter,Inter,4,4,2,4,landscape_A4,32-44,Lab specialists research facility architects pharma/biotech buildings
tpl_060,Eco Vernacular,Sustainable,Eco-vernacular blending regional vernacular wisdom with sustainability,#3D4F2C,#C57E3C,#F4EFE0,Lora,Karla,4,2,2,4,portrait_A4,28-40,Vernacular specialists low-tech sustainability regional-modern architects
tpl_061,Museum,Contemporary,Sophisticated contemporary with crisp hero image and centered content,#FFFFFF,#1A1A1A,#FFFFFF,Serif,Sans-serif,3,1,1,1,portrait_A4,16-24,Established architects - professional practices
tpl_062,Palazzo,Minimalist,Refined canvas with subtle shadow details and elegant proportions,#F5F5F5,#1A1A1A,#FFFFFF,Serif,Sans-serif,4,2,1,1,portrait_A4,16-24,Luxury residential - premium architects
tpl_063,Deco,Industrial,Dark industrial aesthetic with bright mineral green accents - Art Deco modern,#1A1A1A,#90EE90,#0D0D0D,Bold Sans-serif,Sans-serif,4,1,1,2,portrait_A4,20-28,Contemporary architects - bold visual identity
tpl_064,Chapter,Organic,Laidback yet crisp with full-page cover image and blurred text overlay,#FFFFFF,#2C2C2C,#F9F9F9,Modern Sans-serif,Clean Sans-serif,5,1,1,1,portrait_A4,16-24,Residential architects - organic sensibility
tpl_065,Agora,Minimalist,Timeless design with full-width hero images and customizable accent colors,#000000,customizable,#FFFFFF,Sans-serif,Sans-serif,5,1,1,1,portrait_A4,16-28,Most versatile - all architects
tpl_066,Downtown,Brutalist,Strong first impression with oversized typography and prominent visuals,#1A1A1A,#FFFFFF,#FFFFFF,Extra Bold Sans-serif,Sans-serif,4,1,1,1,portrait_A4,16-24,Bold architects - strong brand identity
tpl_067,Loft,Contemporary,Elegant layout with 5-image rotating slideshow gallery - sleek professional feel,#FFFFFF,#1A1A1A,#FFFFFF,Modern Serif,Sans-serif,5,1,1,1,portrait_A4,16-24,Commercial architects - established firms
tpl_068,Classica,Dark Premium,Luxurious dark aesthetic with golden fonts and Art Deco inspired details,#2C2C2C,#DAA520,#1A1A1A,Gold Serif,Sans-serif,4,1,1,1,portrait_A4,16-24,Luxury residential - heritage architects
tpl_069,Neue,Industrial,Simplicity with soulfulness using white space and dark bronze tones,#FFFFFF,#8B7355,#F5F5F5,Modern Sans-serif,Sans-serif,4,2,1,1,portrait_A4,16-24,Minimalist architects - refined aesthetic
tpl_070,Modular,Modern,Flexible modular layouts with subtle pink-grey color palette,#FFFFFF,#FFB6C1,#F8F8F8,Sans-serif,Sans-serif,4,2,1,1,portrait_A4,20-28,Contemporary architects - flexible needs
tpl_071,Haus,Bauhaus,Asymmetrical layout with dual image sections and striking typography,#000000,#FFFFFF,#FFFFFF,Bold Sans-serif,Sans-serif,5,1,1,2,portrait_A4,16-24,Design-forward architects - geometric sensibility
tpl_072,Beaux,Classical,Classical elegant design with serif typeface and 3D shadow effects,#F5F1E8,#3A2F2A,#F5F1E8,Serif,Serif,4,1,1,1,portrait_A4,16-24,Heritage architects - refined traditional
tpl_073,Metropolitan,Brutalist,5-image slideshow hero for showcasing work across responsive formats,#1A1A1A,#FFFFFF,#FFFFFF,Bold Sans-serif,Sans-serif,5,1,1,1,portrait_A4,16-24,Commercial architects - dynamic presentation
