id,name,sheet_type,category,format,colors_primary,colors_accent,heading_font,body_font,description,key_placeholders,style_notes
sht_067,Materials — Finish Schedule Board,materials,Interior,A1_landscape,#2C2A2A,#C9A878,Cormorant Garamond,Inter,Interior finish schedule with room-by-room materials and swatches,room_schedule_table + 12_swatches + material_codes + legend,Warm palette with material swatches
sht_068,Materials — Exterior Facade Palette,materials,Technical,A2_landscape,#1A1A1A,#4A90E2,Inter,Inter,Facade material palette with cladding glazing and roofing selections,elevation_reference + 6_material_cards + product_specs,Elevation linked to material cards
sht_069,Materials — Color & Material Concept,materials,Conceptual,A2_portrait,#2A2A2A,#8B7355,Lora,Inter,Material concept board showing inspiration palette and application,inspiration_images + material_swatches + application_renders,Warm narrative from inspiration to application
sht_070,Render — Hero Perspective Full-Bleed,render,Presentation,A1_landscape,image,image,Inter,Inter,Single hero render presented full-bleed with minimal overlay,hero_render + white_title_overlay,Full-bleed gallery quality
sht_071,Render — Before & After Comparison,render,Adaptive Reuse,A1_landscape,#1A1A1A,#A0522D,Cormorant Garamond,Inter,Before/after split showing existing vs. proposed design,before_photo + after_render + transformation_description,Sienna divider between conditions
sht_072,Render — Interior Vignettes Grid,render,Interior,A1_landscape,#2C2A2A,#C9A878,Cormorant Garamond,Inter,Grid of interior vignettes showing different spaces,1_hero_interior + 4_smaller_renders_2x2 + room_labels,Warm cream with gold room labels
sht_073,Render — Aerial Bird's Eye,render,Urban,A1_landscape,#2C3E50,#E74C3C,Inter,Inter,Aerial bird's-eye view showing project in full site context,aerial_render + feature_labels + north_arrow + site_data,Dramatic aerial with red boundary
sht_074,Process — Design Development Timeline,process,Process,A1_landscape,#1A1A1A,#FF6B35,Inter,Inter,Design development showing evolution from sketch to construction document,sketch_phase + schematic_phase + design_dev + cds + built,5 columns left-to-right evolution
sht_075,Process — Model Photography,process,Conceptual,A1_landscape,#1A1A1A,#1A1A1A,Inter,Inter,Physical model photography with multiple angles and detail shots,1_hero_model + 4_angles_2x2 + 3_details + model_info,Professional model gallery quality
sht_076,Process — Iterative Sketch Studies,process,Sketch,A1_landscape,#2C2416,#9B7E46,Caveat,Lora,Sketch study showing iterative hand drawings and selected direction,9_sketch_options + handwritten_notes + selected_highlight,3x3 grid with gold circle on winner
